Issue Type,Custom field (Patch Info),Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,CAMEL-10280,13001719,Don't require create privileges to publish to named SNS topic,ancosen,sfussenegger,Major,Resolved,Fixed,2016-08-31 15:31,2016-09-05 8:41,
Bug,,CAMEL-10276,13001349,Update camel-syslog to use Netty4,ancosen,jamesnetherton,Major,Resolved,Fixed,2016-08-30 15:07,2016-08-31 13:54,
Bug,,CAMEL-10264,12999175,Minor version releases should carry .0 micro version,raulvk,raulvk,Major,Closed,Fixed,2016-08-23 10:28,2016-08-23 15:15,
Bug,,CAMEL-10205,12993513,camel-example-spring-dm - Cannot install in Karaf 4.0.x,davsclaus,davsclaus,Major,Resolved,Fixed,2016-07-29 11:40,2016-08-22 13:23,
Bug,,CAMEL-10257,12998668,camel-cache - Bug failures,lb,davsclaus,Major,Resolved,Fixed,2016-08-20 9:30,2016-08-22 11:52,
Bug,Patch Available,CAMEL-10219,12994769,Add support in JAXB module to use injected CharacterEscapeHandler,davsclaus,sidshar,Major,Resolved,Fixed,2016-08-04 1:09,2016-08-19 23:33,
Bug,,CAMEL-10196,12993197,Camel KAfka doesn't support SASL_PLAINTEXT security protocol,ancosen,OHolzma,Major,Resolved,Fixed,2016-07-28 9:58,2016-08-05 6:25,
Bug,,CAMEL-10207,12993721,spring boot - Integration Bug failures,nferraro,davsclaus,Major,Resolved,Fixed,2016-07-30 6:26,2016-08-02 10:32,
Bug,Patch Available,CAMEL-10215,12994102,EventDrivenPollingConsumer is not thread safe when used with ConsumerCache ,davsclaus,sidshar,Major,Resolved,Fixed,2016-08-01 22:43,2016-08-02 6:49,
Bug,,CAMEL-10203,12993476,Spring boot - Auto configuration should not use primitive types,davsclaus,davsclaus,Major,Resolved,Fixed,2016-07-29 8:11,2016-07-29 8:45,
Bug,,CAMEL-10202,12993472,camel-netty4-http - Spring Boot auto configuration,davsclaus,davsclaus,Major,Resolved,Fixed,2016-07-29 7:54,2016-07-29 8:14,
Bug,,CAMEL-10144,12989317,Salesforce keeps breaking backward compatibility by adding fields to older API versions,dhirajsb,dhirajsb,Major,Resolved,Fixed,2016-07-14 2:06,2016-07-27 20:44,
Bug,,CAMEL-9880,12959667,Header Support for Attachments in Camel 2.18,siano,siano,Major,Resolved,Fixed,2016-04-18 14:38,2016-07-27 8:45,
Bug,Patch Available,CAMEL-10161,12991011,camel-sql - Does not propagate headers for outputType=StreamList,ancosen,dwtung,Major,Resolved,Fixed,2016-07-20 6:18,2016-07-22 3:47,
Bug,,CAMEL-10143,12989258,"Camel Salesforce component field LastActivityDate is typed with java.lang.String, which is not consistent with the Salesforce SOAP type ""xsd:date""",dhirajsb,dhirajsb,Major,Resolved,Fixed,2016-07-13 21:41,2016-07-14 6:42,
Bug,,CAMEL-10122,12986809,spring boot - Auto configuration for http component has prefix https,davsclaus,davsclaus,Major,Resolved,Fixed,2016-07-05 13:25,2016-07-06 7:20,
Bug,,CAMEL-10082,12981454,camel-api-component-maven-plugin doesn't handle inner class names in Javadoc,dhirajsb,dhirajsb,Major,Resolved,Fixed,2016-06-21 18:42,2016-06-21 23:09,
Bug,,CAMEL-10032,12977115,camel-braintree - Cannot install in Karaf,lb,davsclaus,Major,Resolved,Fixed,2016-06-09 6:46,2016-06-09 13:26,
Bug,,CAMEL-10033,12977117,camel-avro - Cannot install in karaf,ancosen,davsclaus,Major,Resolved,Fixed,2016-06-09 6:56,2016-06-09 8:05,
Bug,,CAMEL-9941,12964747,Blueprint bug ARIES-1544 causes issues in Olingo2 configuration,dhirajsb,dhirajsb,Major,Resolved,Fixed,2016-05-03 18:50,2016-06-01 7:41,
Bug,,CAMEL-9983,12971951,camel-hystrix - Lets removed the component now that we have the EIP,davsclaus,davsclaus,Major,Resolved,Fixed,2016-05-23 6:11,2016-05-24 7:35,
Bug,,CAMEL-9926,12963751,HTTP Proxy support in Salesforce component is broken with upgrade to Jetty9,dhirajsb,dhirajsb,Major,Resolved,Fixed,2016-04-29 3:03,2016-05-23 18:25,
Bug,,CAMEL-9951,12965574,Setup default values for thread-connected properties in WebSocket component,ancosen,mbasovni,Major,Resolved,Fixed,2016-05-06 12:20,2016-05-09 11:43,
Bug,,CAMEL-9953,12965808,Camel-ssh: Review logic in doStart and doStop in the SshConsumer and SshProducer,ancosen,ancosen,Major,Resolved,Fixed,2016-05-07 8:34,2016-05-07 9:09,
Bug,,CAMEL-9919,12963239,camel-salesforce - Use a better http client,dhirajsb,davsclaus,Major,Resolved,Fixed,2016-04-27 18:29,2016-05-02 18:13,
Bug,,CAMEL-9925,12963743,Update Salesforce component to use Jetty9,dhirajsb,dhirajsb,Major,Resolved,Fixed,2016-04-29 2:19,2016-04-29 6:08,
Bug,,CAMEL-9923,12963436,camel-blueprint - Should not use online xsd for parsing,gzres,davsclaus,Major,Resolved,Not A Problem,2016-04-28 9:45,2016-04-28 9:50,
Bug,,CAMEL-9908,12962189,Remove jetty8,davsclaus,davsclaus,Major,Resolved,Fixed,2016-04-25 9:16,2016-04-27 18:30,
Bug,,CAMEL-9890,12960303,Migrate Camel-websocket to Jetty9,ancosen,ancosen,Major,Resolved,Fixed,2016-04-20 11:16,2016-04-20 13:03,
Bug,,CAMEL-9788,12955248,"Jetty endpoint option ""matchOnUriPrefix"" does not work properly",davsclaus,mbasovni,Major,Closed,Invalid,2016-04-01 9:16,2016-04-02 19:17,
Bug,,CAMEL-9797,12955480,camel-elastichsearch - Bugs fails since recent upgrade,ancosen,davsclaus,Major,Resolved,Fixed,2016-04-02 6:29,2016-04-02 9:14,
Bug,Patch Available,CAMEL-10328,13005729,Enhance Slack component to support attachments in webhooks,davsclaus,sidshar,Minor,Resolved,Fixed,2016-09-18 7:24,2018-03-14 10:32,
Bug,,CAMEL-10394,13012911,BlueprintCamelContext cannot find components created in RouteBuilder.configure method,davsclaus,hqstevenson,Minor,Resolved,Fixed,2016-10-17 16:46,2018-03-05 12:01,
Bug,,CAMEL-10349,13008051,javaScript setHeader conversion fault,fabryprog,fabryprog,Minor,Closed,Unresolved,2016-09-27 20:46,2018-02-26 13:45,
Bug,,CAMEL-10093,12983750,camel-restlet - Message body is null,,davsclaus,Minor,Open,,2016-06-27 12:09,2017-11-02 7:31,
Bug,,CAMEL-10440,13017572,ftp component: Errors during file download bypass redelivery and goes directly to the deadletterchannel ,,Kluggi,Minor,Resolved,Won't Fix,2016-11-03 9:49,2017-09-21 10:58,
Bug,,CAMEL-10504,13022205,Hiding an underlying exception if MongoDbBasicConverters fails to convert to DBObject,ancosen,elomonos,Minor,Resolved,Fixed,2016-11-21 14:40,2017-05-17 15:46,
Bug,,CAMEL-11264,13071213,Potential NPE in DefaultUndertowHttpBinding,ancosen,jamesnetherton,Minor,Resolved,Fixed,2017-05-11 15:32,2017-05-15 8:18,
Bug,,CAMEL-10396,13013195,Can't use parameter type to select among overloaded methods,davsclaus,aldettinger,Minor,Resolved,Fixed,2016-10-18 13:30,2017-05-08 20:38,
Bug,,CAMEL-10497,13021752,Improve documentation detailing websocket implementation details,,singram777,Minor,Open,,2016-11-18 13:32,2017-04-18 7:44,
Bug,,CAMEL-10373,13010490,camel-spring-boot-starter - Some starters has hibernate-validator,nferraro,davsclaus,Minor,Resolved,Fixed,2016-10-07 15:20,2017-04-13 13:02,
Bug,Patch Available,CAMEL-10477,13020552,[jruby] Upgrade to 1.7.26,paolo.antinori,paolo.antinori,Minor,Resolved,Unresolved,2016-11-14 17:32,2017-04-07 8:51,
Bug,,CAMEL-11009,13055820,Camel spring - spring.schemas file contains unexpaned maven properties in release artefact,davsclaus,niels.bertram,Minor,Resolved,Fixed,2017-03-14 4:43,2017-03-19 15:32,
Bug,,CAMEL-10363,13009101,camel-spring-redis - Cannot install in Karaf,,davsclaus,Minor,Resolved,Won't Fix,2016-10-02 5:06,2017-03-14 6:47,
Bug,,CAMEL-10789,13040408,Indexing with simple expression broken in Apache Camel 2.18,davsclaus,surjitsen,Minor,Resolved,Fixed,2017-02-04 22:52,2017-03-01 9:13,
Bug,,CAMEL-10439,13017550,Kafka Consumer cannot load class RangeAssignor in Weblogic/JEE,,convoi,Minor,Resolved,Later,2016-11-03 8:27,2017-02-24 13:33,
Bug,,CAMEL-10821,13042580,Camel-swagger-java doesn't parse multiple required parameters,davsclaus,Sufod,Minor,Resolved,Not A Problem,2017-02-13 13:49,2017-02-13 14:11,
Bug,,CAMEL-10817,13042119,dumpModelAsXml can return invalid XML namespace xmlns:xmlns,jamesnetherton,jamesnetherton,Minor,Resolved,Fixed,2017-02-10 16:49,2017-02-13 9:13,
Bug,,CAMEL-10745,13037682,POJO @Produce @Consume does not work with multiple arguments anymore.,davsclaus,chrisjheap,Minor,Resolved,Fixed,2017-01-25 12:41,2017-01-30 17:55,
Bug,,CAMEL-10741,13037334,LogEndpoint error constructing LogProducer,davsclaus,indysilver,Minor,Resolved,Fixed,2017-01-24 11:08,2017-01-27 13:27,
Bug,,CAMEL-10459,13019497,camel-elsql - option batch is not implemented in producer,onders,tturek,Minor,Resolved,Fixed,2016-11-09 10:14,2017-01-13 17:13,
Bug,,CAMEL-10653,13030419,XQuery support broken in Camel 2.18.x,davsclaus,nvoskresenskiy,Minor,Resolved,Fixed,2016-12-23 17:37,2016-12-23 19:07,
Bug,,CAMEL-10444,13017617,Return header with key CamelMongoDbRecordsAffected from update and remove operations,ancosen,nbusy,Minor,Resolved,Fixed,2016-11-03 12:40,2016-12-22 7:42,
Bug,,CAMEL-10634,13029747,Camel Catalog contains some invalid entries for Spring-boot in 2.18.x,davsclaus,aurelien.pupier,Minor,Resolved,Fixed,2016-12-21 13:46,2016-12-21 16:01,
Bug,,CAMEL-10476,13020538,configAdminFile not used to populate property placeholders in camel-Bug-blueprint when run via camel-maven-plugin,gzres,ryanco,Minor,Resolved,Fixed,2016-11-14 16:09,2016-12-16 8:10,
Bug,Patch Available,CAMEL-10597,13028113,Swagger prints child object types as string parameters rather than refs,davsclaus,bobpaulin,Minor,Resolved,Fixed,2016-12-14 14:42,2016-12-15 14:26,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
